Plataforma;Nome_Item;Quantidade
PMLZ-1;CHAVE FENDA SIMPLES 1/4x6mm;1.0
PMLZ-1;CHAVE FENDA 3/16x4mm;1.0
PMLZ-1;CHAVE FENDA SIMPLES 3/8x6mm;1.0
PMLZ-1;CHAVE FENDA SIMPLES 3/8x8mm;1.0
PMLZ-1;CHAVE L FIXA 17mm;1.0
PMLZ-1;CHAVE PHILIPS ISOLADA 1/8x2.3/8;1.0
PMLZ-1;CHAVE PHILIPS ISOLADA 3/16x4mm;1.0
PMLZ-1;CHAVE PUNCH DOWM;1.0
PMLZ-1;ETIQUETADORA BROTHER P-80;1.0
PMLZ-1;JOGO CHAVE ALLEN L;1.0
PMLZ-1;JOGO DE CHAVE CATRACA BITS 28 PEÇAS.;1.0
PMLZ-1;LANTERNA DE CABEÇA LED;1.0
PMLZ-1;PENDRIVE 64 GB SANDISK;1.0
PMLZ-1;BADISCO;1.0
PMXL-1;PUNÇÃO 105mm;1.0
PMXL-1;CHAVE FENDA SIMPLES 1/2x12mm;1.0
PMXL-1;CHAVE DE FENDA ISOLADA 3/8x8mm;1.0
PMXL-1;CHAVE DE FENDA 1/4x8mm;1.0
PMXL-1;CHAVE DE FENDA 1/8x3mm;1.0
PMXL-1;CHAVE DE FENDA 1/8x8mm;1.0
PMXL-1;CHAVE DE FENDA ISOLADA 1/4x6mm;1.0
PMXL-1;CHAVE DE FENDA ISOLADA 1/4x4mm;1.0
PMXL-1;CHAVE DE FENDA 1/4x4mm;1.0
PMXL-1;CHAVE DE FENDA 1/4x5mm;1.0
PMXL-1;CHAVE PHILIPS 1/4x5mm;1.0
PMXL-1;CHAVE PHILIPS ISOLADA 3/16x4mm;1.0
PMXL-1;CHAVE PHILIPS ISOLADA 1/8x4mm;1.0
PMXL-1;CHAVE L FIXA 17mm;1.0
PMXL-1;CHAVE PHILIPS ISOLADA 1/8x3.1/8mm;1.0
PMXL-1;CHAVE DE FENDA ISOLADA 3/16x4mm;1.0
PMXL-1;CHAVE DE FENDA  1/8x6mm;1.0
PMXL-1;CHAVE CANHÃO 11mm;1.0
PMXL-1;FURADEIRA 110V - 220V;1.0
PMXL-1;LANTERNA LED;1.0
PMXL-1;TRENA 10M;1.0
PMXL-1;ARCO DE SERRA;1.0
PMXL-1;BOLSA DE FERRAMENTAS;1.0
PMXL-1;EXTENSÃO 2,5mm - 10M;1.0
PMXL-1;CHAVE CANHÃO 12mm;1.0
PMXL-1;JOGO CHAVE TORK L;1.0
PMXL-1;JOGO CHAVE CATRACA MINI -  40 PÇS;1.0
PMXL-1;JOGO CHAVE ALLEN L;1.0
PMXL-1;ALICATE PRENSA TERMINAIS 0,5 - 6mm;1.0
PMXL-1;CHAVE PHILIPS ISOLADA 5/16x6mm;1.0
PMXL-1;PINÇA CORNETA;1.0
PMXL-1;GUIA SERRA COPO;1.0
PMXL-1;JOGO SERRA COPO 19, 22, 29, 32, 35mm;1.0
PMXL-1;CHAVE CANHÃO 8mm;1.0
PMXL-1;CHAVE INGLESA 12;1.0
PMXL-1;LIXADEIRA 110v - 220v;1.0
PMXL-1;CHAVE CANHÃO 10mm;1.0
PMXL-1;CHAVE CANHÃO 6mm;1.0
PMXL-1;CHAVE INGLESA 6;1.0
PMXL-1;CHAVE INGLESA 8;1.0
PMXL-1;CHAVE CANHÃO 13mm;1.0
PMXL-1;ALICATE UNIVERSAL;1.0
PMXL-1;CHAVE TORK T25;1.0
PMXL-1;CHAVE DE FENDA ISOLADA 3/16x6mm;1.0
PMXL-1;CHAVE TORK T15;1.0
PMXL-1;CHAVE TORK T20;1.0
PMXL-1;ALICATE CRIMPAR CABO COAXIAL;1.0
PMXL-1;CHAVE PHILIPS ISOLADA 1/4x6mm;1.0
PMXL-1;CHAVE BARGOA;1.0
PMXL-1;ALICATE CORTA CABO 300mm²;1.0
PMXL-1;CHAVE PHILIPS ISOLADA 3/8x8mm;1.0
PMXL-1;ALICATE DE CORTE DIAGONAL TAM6;1.0
PMXL-1;ALICATE CRIMPADOR RJ11;1.0
PMXL-1;ALICATE CRIMPADOR RJ45;1.0
PMXL-1;ALICATE BICO TAM 6;1.0
PMXL-1;ALICATE DE CORTE WESTERN TAM 6;1.0
PMXL-1;ALICATE REBITADOR;1.0
PMXL-1;CHAVE PHILIPS 3/16x4mm;1.0
PMXL-1;ALICATE CRIMPADOR RJ11, RJ12 E RJ45;1.0
PMXL-1;CHAVE TORK T27 EM L;1.0
PMXL-1;JOGO DE CHAVE CATRACA SOQUETES ESTRIADOS 10mm a 32mm;1.0
PMXL-1;ALICATE PRENSA TERMINAL TUBULAR 6 - 16mm²;1.0
PMXL-1;CHAVE PHILIPS ISOLADA 3/16x3mm;1.0
PMXL-1;CHAVE PHILIPS 5/16x8;1.0
PMXL-1;CHAVE PHILIPS SIMPLES 1/8 x 3;1.0
PMXL-1;DECAPADOR CABO COAXIAL;1.0
PMXL-1;LIMA REDONDA;1.0
PMXL-1;CHAVE PHILIPS 1/4x6mm;1.0
PMXL-1;ALICATE DE PRESSÃO 10`;1.0
PMXL-1;LIMA CHATA;1.0
PMXL-1;JOGO DE CHAVE DE BORNES 6 PÇS;1.0
